filepath,xmin,xmax,ymin,ymax
/content/drive/MyDrive/data-test/images_labeled/N193.xml,274,502,2,59
/content/drive/MyDrive/data-test/images_labeled/N195.xml,186,367,137,232
/content/drive/MyDrive/data-test/images_labeled/N196.xml,119,220,84,111
/content/drive/MyDrive/data-test/images_labeled/N197.xml,120,184,103,130
/content/drive/MyDrive/data-test/images_labeled/N198.xml,214,335,138,169
/content/drive/MyDrive/data-test/images_labeled/N199.xml,45,112,206,255
/content/drive/MyDrive/data-test/images_labeled/N2.xml,1804,2493,1734,1882
/content/drive/MyDrive/data-test/images_labeled/N20.xml,498,796,729,814
/content/drive/MyDrive/data-test/images_labeled/N200.xml,196,442,227,293
/content/drive/MyDrive/data-test/images_labeled/N201.xml,157,290,193,229
/content/drive/MyDrive/data-test/images_labeled/N202.xml,157,329,260,296
/content/drive/MyDrive/data-test/images_labeled/N203.xml,765,1258,821,905
/content/drive/MyDrive/data-test/images_labeled/N204.xml,94,206,307,334
/content/drive/MyDrive/data-test/images_labeled/N205.xml,322,479,169,203
/content/drive/MyDrive/data-test/images_labeled/N206.xml,121,215,120,147
/content/drive/MyDrive/data-test/images_labeled/N207.xml,213,339,280,307
/content/drive/MyDrive/data-test/images_labeled/N208.xml,199,274,203,221
/content/drive/MyDrive/data-test/images_labeled/N209.xml,145,319,200,244
/content/drive/MyDrive/data-test/images_labeled/N21.xml,244,403,221,258
/content/drive/MyDrive/data-test/images_labeled/N210.xml,143,337,210,254
/content/drive/MyDrive/data-test/images_labeled/N211.xml,74,160,149,175
/content/drive/MyDrive/data-test/images_labeled/N212.xml,159,353,115,173
/content/drive/MyDrive/data-test/images_labeled/N213.xml,131,209,129,153
/content/drive/MyDrive/data-test/images_labeled/N214.xml,167,277,189,226
/content/drive/MyDrive/data-test/images_labeled/N215.xml,85,258,390,446
/content/drive/MyDrive/data-test/images_labeled/N216.xml,322,682,300,371
/content/drive/MyDrive/data-test/images_labeled/N217.xml,404,585,429,468
/content/drive/MyDrive/data-test/images_labeled/N218.xml,176,301,212,238
/content/drive/MyDrive/data-test/images_labeled/N219.xml,1,300,92,154
/content/drive/MyDrive/data-test/images_labeled/N22.xml,493,858,885,967
/content/drive/MyDrive/data-test/images_labeled/N220.xml,182,349,238,273
/content/drive/MyDrive/data-test/images_labeled/N221.xml,104,209,153,182
/content/drive/MyDrive/data-test/images_labeled/N222.xml,127,183,122,156
/content/drive/MyDrive/data-test/images_labeled/N223.xml,69,585,79,183
/content/drive/MyDrive/data-test/images_labeled/N224.xml,164,272,223,247
/content/drive/MyDrive/data-test/images_labeled/N225.xml,775,1142,965,1101
/content/drive/MyDrive/data-test/images_labeled/N226.xml,142,343,253,304
/content/drive/MyDrive/data-test/images_labeled/N227.xml,626,768,280,359
/content/drive/MyDrive/data-test/images_labeled/N229.xml,358,1031,294,540
/content/drive/MyDrive/data-test/images_labeled/N23.xml,107,201,264,288
/content/drive/MyDrive/data-test/images_labeled/N230.xml,271,484,332,384
/content/drive/MyDrive/data-test/images_labeled/N231.xml,581,700,273,319
/content/drive/MyDrive/data-test/images_labeled/N232.xml,286,451,216,258
/content/drive/MyDrive/data-test/images_labeled/N233.xml,99,223,20,50
/content/drive/MyDrive/data-test/images_labeled/N234.xml,224,307,158,183
/content/drive/MyDrive/data-test/images_labeled/N235.xml,44,656,128,391
/content/drive/MyDrive/data-test/images_labeled/N236.xml,313,380,111,141
/content/drive/MyDrive/data-test/images_labeled/N237.xml,121,243,163,198
/content/drive/MyDrive/data-test/images_labeled/N238.xml,165,341,129,170
/content/drive/MyDrive/data-test/images_labeled/N239.xml,106,263,238,276
/content/drive/MyDrive/data-test/images_labeled/N24.xml,151,280,193,224
/content/drive/MyDrive/data-test/images_labeled/N240.xml,164,285,99,137
/content/drive/MyDrive/data-test/images_labeled/N241.xml,251,542,308,385
/content/drive/MyDrive/data-test/images_labeled/N242.xml,202,386,190,227
/content/drive/MyDrive/data-test/images_labeled/N244.xml,335,452,313,343
/content/drive/MyDrive/data-test/images_labeled/N245.xml,192,364,279,319
/content/drive/MyDrive/data-test/images_labeled/N246.xml,23,160,261,321
/content/drive/MyDrive/data-test/images_labeled/N247.xml,641,886,518,578
/content/drive/MyDrive/data-test/images_labeled/N248.xml,288,429,248,281
/content/drive/MyDrive/data-test/images_labeled/N25.xml,132,235,169,193
/content/drive/MyDrive/data-test/images_labeled/N27.xml,696,1061,546,677
/content/drive/MyDrive/data-test/images_labeled/N28.xml,738,1009,654,722
/content/drive/MyDrive/data-test/images_labeled/N3.xml,73,260,381,462
/content/drive/MyDrive/data-test/images_labeled/N30.xml,928,1219,543,606
/content/drive/MyDrive/data-test/images_labeled/N31.xml,256,381,233,261
/content/drive/MyDrive/data-test/images_labeled/N32.xml,360,500,171,206
/content/drive/MyDrive/data-test/images_labeled/N33.xml,856,1218,665,751
/content/drive/MyDrive/data-test/images_labeled/N34.xml,576,902,487,596
/content/drive/MyDrive/data-test/images_labeled/N35.xml,97,229,338,378
/content/drive/MyDrive/data-test/images_labeled/N36.xml,392,517,161,213
/content/drive/MyDrive/data-test/images_labeled/N37.xml,77,200,231,290
/content/drive/MyDrive/data-test/images_labeled/N38.xml,397,645,590,641
/content/drive/MyDrive/data-test/images_labeled/N4.xml,1326,1830,1464,1607
/content/drive/MyDrive/data-test/images_labeled/N40.xml,328,580,208,254
/content/drive/MyDrive/data-test/images_labeled/N42.xml,163,373,253,327
/content/drive/MyDrive/data-test/images_labeled/N43.xml,142,298,281,327
/content/drive/MyDrive/data-test/images_labeled/N44.xml,113,257,282,322
/content/drive/MyDrive/data-test/images_labeled/N45.xml,107,256,147,180
/content/drive/MyDrive/data-test/images_labeled/N46.xml,454,797,109,234
/content/drive/MyDrive/data-test/images_labeled/N47.xml,161,313,212,259
/content/drive/MyDrive/data-test/images_labeled/N48.xml,156,335,259,303
/content/drive/MyDrive/data-test/images_labeled/N49.xml,196,352,135,173
/content/drive/MyDrive/data-test/images_labeled/N5.xml,938,1173,709,762
/content/drive/MyDrive/data-test/images_labeled/N50.xml,101,397,223,291
/content/drive/MyDrive/data-test/images_labeled/N51.xml,383,491,212,248
/content/drive/MyDrive/data-test/images_labeled/N52.xml,234,422,254,294
/content/drive/MyDrive/data-test/images_labeled/N53.xml,217,428,147,188
/content/drive/MyDrive/data-test/images_labeled/N54.xml,189,299,162,188
/content/drive/MyDrive/data-test/images_labeled/N56.xml,302,486,265,303
/content/drive/MyDrive/data-test/images_labeled/N57.xml,211,406,161,202
/content/drive/MyDrive/data-test/images_labeled/N58.xml,221,430,190,231
/content/drive/MyDrive/data-test/images_labeled/N59.xml,1238,2468,1012,1269
/content/drive/MyDrive/data-test/images_labeled/N6.xml,858,1122,611,676
/content/drive/MyDrive/data-test/images_labeled/N61.xml,158,350,252,297
/content/drive/MyDrive/data-test/images_labeled/N62.xml,289,421,188,232
/content/drive/MyDrive/data-test/images_labeled/N63.xml,297,422,174,218
/content/drive/MyDrive/data-test/images_labeled/N64.xml,19,94,249,314
/content/drive/MyDrive/data-test/images_labeled/N65.xml,1024,1273,611,680
/content/drive/MyDrive/data-test/images_labeled/N66.xml,163,320,247,280
/content/drive/MyDrive/data-test/images_labeled/N67.xml,164,336,162,195
/content/drive/MyDrive/data-test/images_labeled/N68.xml,319,479,262,295
/content/drive/MyDrive/data-test/images_labeled/N69.xml,637,840,464,549
/content/drive/MyDrive/data-test/images_labeled/N7.xml,1149,1358,649,702
/content/drive/MyDrive/data-test/images_labeled/N70.xml,186,395,376,430
/content/drive/MyDrive/data-test/images_labeled/N72.xml,186,325,177,212
/content/drive/MyDrive/data-test/images_labeled/N73.xml,124,209,102,130
/content/drive/MyDrive/data-test/images_labeled/N74.xml,161,366,210,250
/content/drive/MyDrive/data-test/images_labeled/N75.xml,466,740,680,737
/content/drive/MyDrive/data-test/images_labeled/N77.xml,361,566,190,297
/content/drive/MyDrive/data-test/images_labeled/N78.xml,146,302,160,196
/content/drive/MyDrive/data-test/images_labeled/N79.xml,113,277,288,347
/content/drive/MyDrive/data-test/images_labeled/N8.xml,788,1525,1675,1851
/content/drive/MyDrive/data-test/images_labeled/N80.xml,248,372,116,144
/content/drive/MyDrive/data-test/images_labeled/N81.xml,66,174,302,332
/content/drive/MyDrive/data-test/images_labeled/N82.xml,456,651,722,778
/content/drive/MyDrive/data-test/images_labeled/N84.xml,235,349,319,352
/content/drive/MyDrive/data-test/images_labeled/N85.xml,163,302,357,427
/content/drive/MyDrive/data-test/images_labeled/N86.xml,448,638,273,338
/content/drive/MyDrive/data-test/images_labeled/N88.xml,208,370,89,173
/content/drive/MyDrive/data-test/images_labeled/N89.xml,150,378,217,269
/content/drive/MyDrive/data-test/images_labeled/N9.xml,142,441,55,167
/content/drive/MyDrive/data-test/images_labeled/N90.xml,53,185,206,232
/content/drive/MyDrive/data-test/images_labeled/N91.xml,239,347,187,211
/content/drive/MyDrive/data-test/images_labeled/N92.xml,113,420,209,260
/content/drive/MyDrive/data-test/images_labeled/N93.xml,385,746,293,434
/content/drive/MyDrive/data-test/images_labeled/N94.xml,63,243,234,274
/content/drive/MyDrive/data-test/images_labeled/N95.xml,23,408,173,391
/content/drive/MyDrive/data-test/images_labeled/N96.xml,137,352,141,186
/content/drive/MyDrive/data-test/images_labeled/N97.xml,175,290,228,255
/content/drive/MyDrive/data-test/images_labeled/N98.xml,563,675,207,238
/content/drive/MyDrive/data-test/images_labeled/N99.xml,158,389,129,193
